label_tec,sentence
T1059,"JavaScript for Automation  is a macOS scripting language based on JavaScript, included as part of Apple’s Open Scripting Architecture , that was introduced in OSX 10.10."
T1059,"Apple’s OSA provides scripting capabilities to control applications, interface with the operating system, and bridge access into the rest of Apple’s internal APIs."
T1059,"As of OSX 10.10, OSA only supports two languages, JXA and AppleScript."
T1059,"Scripts can be executed via the command line utility osascript, they can be compiled into applications or script files via osacompile, and they can be compiled and executed in memory of other programs by leveraging the OSAKit Framework."
T1059,Adversaries may abuse various implementations of JavaScript to execute various behaviors.
T1059,Common uses include hosting malicious scripts on websites as part of a Drive-by Compromise or downloading and executing these script files as secondary payloads.
T1059,"Since these payloads are text-based, it is also very common for adversaries to obfuscate their content as part of Obfuscated Files or Information."
T1059,Astaroth uses JavaScript to perform its core functionalities.
T1059,NanHaiShu executes additional Jscript code on the victim's machine.
T1059,Xbash can execute malicious JavaScript payloads on the victim’s machine.
T1059,POWERSTATS can use JavaScript code for execution.
T1059,jRAT has been distributed as HTA files with JScript.
T1059,Metamorfo includes payloads written in JavaScript.
T1059,GRIFFON is written in and executed as JavaScript.
T1059,Bundlore can execute JavaScript by injecting it into the victim's browser.
T1059,InvisiMole can use a JavaScript file as part of its execution chain.
T1059,Valak can execute JavaScript containing configuration data for establishing persistence.
T1059,The Cobalt Strike System Profiler can use JavaScript to perform reconnaissance actions.
T1059,AppleSeed has the ability to use JavaScript to execute PowerShell.
T1059,Chaes has used JavaScript and Node.Js information stealer script that exfiltrates data using the node process.
T1059,EnvyScout can write files to disk with JavaScript using a modified version of the open-source tool FileSaver.
T1059,Avaddon has been executed through a malicious JScript downloader.
T1059,SpicyOmelette has the ability to execute arbitrary JavaScript code on a compromised host.
T1059,JSS Loader can download and execute JavaScript files.
T1059,The QakBot web inject module can inject Java Script into web banking pages visited by the victim.
T1059,Leafminer infected victims using JavaScript code.
T1059,Silence has used JS scripts.
T1059,TA505 has used JavaScript for code execution.
T1059,"Molerats used various implants, including those built with JS, on target machines."
T1059,Cobalt Group has executed JavaScript scriptlets on the victim's machine.
T1059,FIN7 used JavaScript scripts to help perform tasks on the victim's machine.
T1059,APT32 has used JavaScript for drive-by downloads and C2 communications.
T1059,FIN6 has used malicious JavaScript to steal payment card data from e-commerce sites.
T1059,Kimsuky has used JScript for logging and downloading additional tools.
T1059,Evilnum has used malicious JavaScript files on the victim's machine.
T1059,Sidewinder has used JavaScript to drop and execute malware loaders.
T1059,Higaisa used JavaScript to execute additional files.
T1059,Turla has used various JavaScript-based backdoors.
T1059,MuddyWater has used JavaScript files to execute its POWERSTATS payload.
T1059,Indrik Spider has used malicious JavaScript files for several components of their attack.
T1001,Adversaries may add junk data to protocols used for command and control to make detection more difficult.
T1001,"By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic."
T1001,Examples may include appending/prepending data with junk characters or writing junk characters between significant characters.
T1001,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them."
T1001,P2P ZeuS added junk data to outgoing UDP packets to peer implants.
T1001,PLEAD samples were found to be highly obfuscated with junk code.
T1001,WellMess can use junk data in the Base64 string for additional obfuscation.
T1001,SUNBURST added junk bytes to its C2 over HTTP.
T1001,GoldMax has used decoy traffic to surround its malicious network traffic to avoid detection.
T1001,BendyBear has used byte randomization to obscure its behavior.
T1001,GrimAgent  can pad C2 messages with random generated values.
T1001,Turian can insert pseudo-random characters into its network encryption setup.
T1001,P8RAT can send randomly-generated data as part of its C2 communication.
T1001,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm."
T1001,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire."
T1558,Adversaries may abuse a valid Kerberos ticket-granting ticket  or sniff network traffic to obtain a ticket-granting service  ticket that may be vulnerable to Brute Force.
T1558,Service principal names  are used to uniquely identify each instance of a Windows service.
T1558,"To enable authentication, Kerberos requires that SPNs be associated with at least one service logon account ."
T1558,Adversaries possessing a valid Kerberos ticket-granting ticket  may request one or more Kerberos ticket-granting service  service tickets for any SPN from a domain controller .
T1558,"Portions of these tickets may be encrypted with the RC4 algorithm, meaning the Kerberos 5 TGS-REP etype 23 hash of the service account associated with the SPN is used as the private key and is thus vulnerable to offline Brute Force attacks that may expose plaintext credentials."
T1558,This same attack could be executed using service tickets captured from network traffic.
T1558,"Wizard Spider has used Rubeus, MimiKatz Kerberos module, and the Invoke-Kerberoast cmdlet to steal AES hashes."
T1558,Operation Wocao has used PowerSploit's Invoke-Kerberoast module to request encrypted service tickets and bruteforce the passwords of Windows service accounts offline.
